exp,attack,attack_key,method,f,seed,sigma_mode,sigma_dp,sigma_sel,sigma_rel,eps_nominal,eps_certified,rounds,acc,accept_rate,wall_sec,status,error,source,timestamp
expD,ALIE,alie,AG-PTR (P=I),0.0,1,nominal,0.9723217465539842,1.965902445173369,0.9829512225866845,1.999999999999998,2.5907524257649563,180,0.1068,0.36666666666666664,87.0,ok,,run,2026-09-03T23:24:15
expD,ALIE,alie,AG-PTR (FedAdam-diag P),0.0,1,nominal,0.9723217465539842,1.965902445173369,0.9829512225866845,1.999999999999998,2.5907524257649563,180,0.7547,0.39444444444444443,88.2,ok,,run,2026-09-03T23:25:43
expD,ALIE,alie,AG-PTR (P=I),0.0,2,nominal,0.9723217465539842,1.965902445173369,0.9829512225866845,1.999999999999998,2.5907524257649563,180,0.5638,0.31666666666666665,84.3,ok,,run,2026-09-03T23:27:07
expD,ALIE,alie,AG-PTR (FedAdam-diag P),0.0,2,nominal,0.9723217465539842,1.965902445173369,0.9829512225866845,1.999999999999998,2.5907524257649563,180,0.7552,0.39444444444444443,85.7,ok,,run,2026-09-03T23:28:33
expD,ALIE,alie,DP-FedAvg (FedAdam),0.0,0,nominal,,,,,,180,0.0984,,,ok,,legacy,2026-09-03T23:28:33
expD,ALIE,alie,DP-FedAvg (FedAdam),0.1,0,nominal,,,,,,180,0.1023,,,ok,,legacy,2026-09-03T23:28:33
expD,ALIE,alie,DP-FedAvg (FedAdam),0.2,0,nominal,,,,,,180,0.1026,,,ok,,legacy,2026-09-03T23:28:33
expD,ALIE,alie,DP-FedAvg (FedAdam),0.3,0,nominal,,,,,,180,0.1273,,,ok,,legacy,2026-09-03T23:28:33
expD,ALIE,alie,DP-FedAvg (FedAdam),0.4,0,nominal,,,,,,180,0.1013,,,ok,,legacy,2026-09-03T23:28:33
expD,ALIE,alie,DP-FedAvg (FedAdam),0.49,0,nominal,,,,,,180,0.1007,,,ok,,legacy,2026-09-03T23:28:33
expD,ALIE,alie,DP-FedAvg (FedAdam),0.6,0,nominal,,,,,,180,0.1007,,,ok,,legacy,2026-09-03T23:28:33
expD,ALIE,alie,FedVRDP-style (FedAdam),0.0,0,nominal,,,,,,180,0.5172,,,ok,,legacy,2026-09-03T23:28:33
expD,ALIE,alie,FedVRDP-style (FedAdam),0.1,0,nominal,,,,,,180,0.3685,,,ok,,legacy,2026-09-03T23:28:33
expD,ALIE,alie,FedVRDP-style (FedAdam),0.2,0,nominal,,,,,,180,0.1405,,,ok,,legacy,2026-09-03T23:28:33
expD,ALIE,alie,FedVRDP-style (FedAdam),0.3,0,nominal,,,,,,180,0.1552,,,ok,,legacy,2026-09-03T23:28:33
expD,ALIE,alie,FedVRDP-style (FedAdam),0.4,0,nominal,,,,,,180,0.1344,,,ok,,legacy,2026-09-03T23:28:33
expD,ALIE,alie,FedVRDP-style (FedAdam),0.49,0,nominal,,,,,,180,0.1261,,,ok,,legacy,2026-09-03T23:28:33
expD,ALIE,alie,FedVRDP-style (FedAdam),0.6,0,nominal,,,,,,180,0.154,,,ok,,legacy,2026-09-03T23:28:33
expD,ALIE,alie,Median (FedAdam),0.0,0,nominal,,,,,,180,0.7789,,,ok,,legacy,2026-09-03T23:28:33
expD,ALIE,alie,Median (FedAdam),0.1,0,nominal,,,,,,180,0.0998,,,ok,,legacy,2026-09-03T23:28:33
